Country/Region,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22
Indonesia,0,0,1677,10551,26940,109936,177571,291182,412784,543975,751270,1089308,1341314,1517854,1672880,1826527,2203108,3440396,4100138,4216728,4244761,4256687,4262994,4369391,5589176,6015748,6047040,6055341
Iran,0,978,47593,95646,154445,306752,376894,461044,620491,975951,1231429,1424596,1639679,1897314,2516157,2923823,3218860,3903519,5025233,5601565,5934495,6121757,6195403,6408244,7060741,7164484,7222308,7232268
Iraq,0,19,728,2153,6868,126704,238338,367474,475288,554767,596193,620620,699088,856939,1070366,1205522,1353458,1635993,1895459,2005991,2056401,2082061,2093891,2218483,2303816,2319908,2325175,2328264
Ireland,0,1,3447,20833,25062,26109,29025,36597,62002,72798,93532,197553,220273,236600,249437,262380,272784,302074,354236,390989,448449,573905,811840,1187216,1303720,1465150,1517112,1565970
Israel,0,7,6413,16012,17179,72359,119158,255142,315007,338389,428510,652246,779958,833456,838481,839511,842067,875801,1082981,1285570,1328218,1344103,1390053,2966444,3642695,3926812,4077856,4143714
Italy,2,1694,110574,207428,233197,247832,270189,317409,709335,1620901,2129376,2560957,2938371,3607083,4035617,4220304,4260788,4355348,4546487,4675758,4774783,5043620,6266939,11116422,12829972,14719394,16504791,17440232
Jamaica,0,0,44,432,588,883,2459,6555,9131,10810,12915,15778,23599,39543,45777,48594,50166,53237,68482,84069,89123,91272,94649,124806,128053,128786,129978,137396
Japan,20,259,2535,14558,16778,37790,69018,84212,101936,150857,239005,392533,433334,477691,598754,749126,801337,936852,1514400,1706516,1722427,1726751,1732752,2820053,5071249,6604726,7898133,8861405
Jordan,0,0,278,459,746,1208,2097,13101,75866,223617,295765,328062,397158,618059,712077,737284,751937,771753,798091,824697,864661,958990,1064277,1243090,1638228,1692485,1695745,1696937
Kazakhstan,0,0,380,3597,11308,90367,131596,140958,150380,175565,202060,237029,263396,299626,378441,444377,485352,649207,868921,965080,1021452,1055779,1072999,1332643,1390966,1393820,1394523,1394918
Kenya,0,0,81,411,2021,21363,34315,38713,55877,84169,96614,100856,106125,135042,160053,171084,184537,203680,236881,249725,253339,255164,297155,321552,322978,323436,323786,325070
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,629,2940,3066,3084,3098
"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Korea, South",12,3736,9887,10780,11541,14366,20449,23952,26732,35163,62593,78844,90372,104194,123240,141476,158549,201002,255401,316020,367974,457612,639083,884310,3492686,13639915,17295733,18129313
Kosovo,0,0,112,806,1083,8554,13601,15663,19328,40117,51502,60218,68451,91079,103638,107021,107768,108465,146880,160114,160767,161099,161531,207971,226309,227497,228083,228373
Kuwait,0,45,317,4377,27762,67448,85811,105676,126534,142992,150869,165843,192031,233521,275270,310501,358511,398538,409961,411690,412708,413383,417723,552153,620452,628978,631409,633225
Kyrgyzstan,0,0,111,756,1817,36299,43958,46841,58878,73178,81156,84588,86308,88538,95752,105111,126395,163846,175876,178608,181327,183404,184748,198518,200527,200946,200993,200993
Laos,0,0,10,19,19,20,22,23,24,39,41,44,45,49,821,1929,2144,6566,15289,24310,40956,75163,112083,134438,142967,179563,207469,210026
Latvia,0,0,446,870,1066,1238,1404,1868,6136,17687,41615,66652,86458,103001,119370,133518,137500,138899,143106,159418,219911,254690,276841,401792,662644,800687,822013,828822
Lebanon,0,10,479,729,1233,4730,17777,40882,82617,129455,183888,303072,376938,471962,527508,540630,545016,562527,603288,624743,642225,672548,731288,928522,1070696,1092509,1097044,1099265
Lesotho,0,0,0,0,2,702,1085,1639,1953,2137,3206,8900,10495,10706,10731,10831,11416,13603,14395,21320,21635,21807,29652,32176,32612,32910,33015,33358
Liberia,0,0,6,141,288,1186,1305,1343,1426,1598,1800,1939,2010,2053,2099,2191,4093,5404,5594,5799,5815,5824,6278,7272,7384,7400,7434,7456
Libya,0,0,10,63,168,3691,14624,35208,62045,83417,100744,119402,134127,159980,177508,186072,193905,253436,310637,341091,357964,373210,388734,433932,495115,501738,501904,502016
Liechtenstein,0,0,73,83,83,89,108,121,601,1345,2245,2567,2652,2756,3028,3103,3133,3190,3403,3558,3662,4745,6167,9035,12052,16429,17185,17507
Lithuania,0,1,512,1389,1671,2087,2923,4779,15698,62511,145430,182898,199398,217005,248655,274776,278809,283016,299532,333690,410580,472239,521692,688685,907144,1027432,1058431,1062669
Luxembourg,0,1,2319,3802,4019,6793,6625,8595,17134,35129,46415,50733,55480,61881,67205,69983,70895,73870,75904,78326,81683,89766,103766,159438,183802,216979,237856,248279
MS Zaandam,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Madagascar,0,0,57,132,826,11273,14957,16454,17111,17341,17714,19065,19831,24696,37296,41366,42247,42665,42873,42898,43626,44330,50279,59319,63659,64009,64152,64377
Malawi,0,0,0,37,336,4186,5576,5779,5932,6028,6684,24365,32008,33584,34095,34346,36359,52631,60583,61597,61800,61926,75828,84572,85347,85650,85781,85991
Malaysia,8,29,2908,6071,7857,8985,9354,11484,32505,67169,115078,219173,302580,346678,411594,579462,758967,1130422,1765016,2257584,2476268,2638221,2761472,2876324,3468590,4219395,4449507,4508319
Maldives,0,0,19,491,1829,3949,8003,10354,11701,13049,13804,16056,19979,24379,30237,65164,73931,77547,81301,84866,87915,91750,95891,141060,170655,177000,179171,179753
Mali,0,0,31,508,1315,2535,2777,3131,3565,4762,7203,8100,8390,10199,13896,14271,14428,14587,14895,15255,16098,17500,21378,30101,30383,30489,30843,31102
Malta,0,0,188,467,619,845,1909,3095,6182,9975,12909,18027,22657,29085,30307,30543,30627,34375,36247,37163,37673,39530,53503,67966,71361,80198,91861,94857
Marshall Islands,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,17,17
Mauritania,0,0,6,8,588,6319,7075,7505,7704,8710,14581,16662,17217,17878,18429,19598,20894,25973,33725,36079,37368,39339,41867,58298,58638,58670,58688,59154
Mauritius,0,0,143,332,335,344,356,381,441,504,527,568,619,1034,1206,1416,1913,4214,10676,15776,23588,56048,68552,107293,169796,210343,220344,225862
Mexico,0,5,1378,20739,93435,434193,606036,748315,929392,1122362,1437185,1869708,2089281,2244268,2347780,2420659,2525350,2854992,3369747,3671611,3807211,3891218,3988916,4985689,5521744,5662073,5739680,5779027
Micronesia,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,30
Moldova,0,0,423,3980,8360,25113,37208,54064,76582,108863,145258,160086,186447,231756,251160,255241,256816,259549,268105,295681,339114,364433,376434,445046,502386,513757,516986,518967
Monaco,0,1,55,95,99,120,154,219,366,617,885,1499,1965,2305,2457,2506,2580,2891,3211,3314,3414,3797,4985,8183,9445,10790,11771,12230
Mongolia,0,0,14,38,185,291,301,313,346,791,1220,1814,2952,8841,37285,59229,117963,166210,217741,389987,592994,670381,693119,846940,908157,918867,920671,925073
Montenegro,0,0,123,322,324,3198,4917,10987,18714,35849,48589,61972,76283,91573,97517,99652,100272,102092,115956,131946,144692,157611,171873,220597,230363,233179,235292,237287
Morocco,0,0,654,4569,7833,25015,63781,126044,222544,359844,440970,471438,483766,496676,511562,519610,532150,629717,866968,934007,946283,950088,965420,1135796,1161131,1163359,1164973,1168664
Mozambique,0,0,10,79,254,1907,4039,8888,12988,15770,18794,39460,59607,67729,69965,70850,77205,123541,146754,150759,151302,151594,191722,223949,225063,225261,225386,225781
Namibia,0,0,14,16,25,2224,7692,11373,12988,14416,24545,34168,39033,44374,48654,55812,91208,119285,125136,127680,128938,129243,148839,155942,157225,157646,158811,166659
Nepal,1,1,5,59,1811,20086,40529,79728,173567,233452,261019,271118,274216,277461,328893,566587,640662,697370,764295,795959,813011,821651,828773,957570,977076,978442,978828,979152
Netherlands,0,18,14697,40236,46647,55098,71863,127922,368147,532444,813765,985224,1096433,1287696,1507615,1654282,1686766,1869909,1946655,2006421,2147473,2684734,3165793,4605248,6398114,7881011,8050019,8087242
